date,QPALeaflitter,QPBLeaflitter
2017-09-15,1.482740786,1.793614103
2017-10-18,-0.068384059,0.714099845
2017-10-30,-2.328879891,-0.881529659
2017-11-14,-2.786026878,-0.946126372
2017-11-30,-2.189110175,-1.731426637
2017-12-13,-2.120480936,-1.023895647
2017-12-29,-1.931042585,-1.155725351
2018-01-23,-2.680962702,-1.592679052
2018-01-31,-0.064081888,-0.788258216
2018-02-16,-1.897907023,-1.643160676
2018-02-28,-2.603476724,-1.073264013
2018-03-14,-1.808288817,-1.256619939
2018-03-28,-1.496896265,-0.840765857
2018-04-13,-1.388419861,-0.502305706
2018-04-26,-0.975554355,-0.598869913
2018-05-16,-0.563222204,-0.70151056
2018-05-30,-1.874568497,-1.162473227
2018-06-15,-1.635387568,-0.817998155
2018-06-29,-0.964295837,-0.947264438
2018-07-16,-1.436566602,-0.909921175
2018-07-30,-1.528617516,-1.015944272
2018-08-14,-1.038668681,-1.49645676
2018-08-28,-1.296084225,-0.894219391
2018-09-17,-1.025272634,-0.936551829
2018-09-28,-1.462258184,-0.977840436
2018-10-12,-1.692719274,-1.102238876
2018-10-30,-1.101880444,-1.236164349
2018-11-15,-1.460865194,-1.30339163
2018-11-30,-1.326049954,-1.110259713
2018-12-13,-2.309204982,-1.592403782
2018-12-31,-0.845875434,-0.818693844
2019-01-18,-2.496946606,-1.517424033
2019-01-31,-2.02905874,-0.461633536
2019-02-15,-1.196873421,-0.887032296
2019-02-25,-1.531451717,-0.899936415
2019-03-14,-0.72934707,-1.181668619
2019-03-29,-0.086426674,-0.760226407
2019-04-15,-0.377801854,-0.510525117
2019-04-29,-0.272057856,-0.276555603
2019-05-17,-0.764427854,-0.270391739
2019-05-29,-0.939679566,-0.763202415
2019-06-18,-0.588483589,-0.514927158
2019-06-30,-0.285349165,-0.207406064
2019-07-19,-1.034183952,-0.514130386
2019-07-31,-0.934797811,-0.787170279
2019-08-15,-0.957551806,-0.998968675
2019-08-27,-0.800872387,-0.728808123
2019-09-16,-0.363194452,-0.590584485
2019-09-27,-0.285302989,-1.133567269
2019-10-15,-1.684889811,-1.020126191
2019-10-29,-1.350165465,-1.035483352
2019-11-14,-1.228767367,-1.252052964
2019-11-27,-1.956237526,-1.701579112
2019-12-13,-0.735067549,-1.237738968
2019-12-27,-0.066328907,-0.133874299
2020-01-16,-0.701353914,-0.235070008
2020-01-31,-1.43403659,-1.495950815
2020-02-13,-0.890120798,-0.966139987
2020-02-28,-1.076811082,-1.988234189
2020-03-12,-0.958611154,-1.168609357
2020-03-31,-1.105808921,-0.495524754
2020-04-16,-0.325907301,-0.401234574
2020-04-30,-0.279973531,0.007524237
2020-05-14,-0.09241053,0.332921197
2020-05-29,-0.349744837,-0.007038695
2020-06-15,-0.716892204,-0.198511569
2020-06-29,-0.691155606,-0.576370464
2020-07-15,0.759915893,-0.527011486
2020-07-28,-0.629114223,-0.493142973
2020-08-17,0.259832412,1.263124688
2020-08-26,0.131635065,-0.167082689
2020-09-14,-1.140969917,-1.013624257
2020-09-30,-0.635608688,-0.867645692
