date,variable,value
2017-01-14,canopy_cover,0.336436902
2017-03-15,canopy_cover,-0.349667996
2017-05-17,canopy_cover,0.08348054
2017-07-08,canopy_cover,0.194286951
2017-09-04,canopy_cover,-0.521518253
2017-09-10,canopy_cover,0.599072942
2017-10-04,canopy_cover,2.035709058
2017-11-08,canopy_cover,1.727578155
2017-12-11,canopy_cover,1.716528319
2018-01-25,canopy_cover,1.669203747
2018-02-15,canopy_cover,1.581599124
2018-03-13,canopy_cover,1.645628869
2018-04-13,canopy_cover,1.436226353
2018-05-09,canopy_cover,1.434460089
2018-06-13,canopy_cover,1.479398525
2018-07-12,canopy_cover,1.391721113
2018-08-18,canopy_cover,1.434460089
2018-09-25,canopy_cover,1.323650326
2018-10-24,canopy_cover,1.294256092
2018-11-28,canopy_cover,1.206443161
2018-12-31,canopy_cover,1.17562524
2019-01-29,canopy_cover,1.110170268
2019-02-25,canopy_cover,1.026044255
2019-03-27,canopy_cover,0.991775799
2019-04-25,canopy_cover,1.070264724
2019-06-19,canopy_cover,1.026930388
2019-07-31,canopy_cover,1.036626365
2019-08-27,canopy_cover,0.966693202
2019-09-30,canopy_cover,0.895547766
2019-10-29,canopy_cover,0.759415592
2019-11-26,canopy_cover,0.631161257
2019-12-27,canopy_cover,0.6258842
2020-01-31,canopy_cover,0.577094035
2020-02-28,canopy_cover,0.681203769
2020-03-24,canopy_cover,0.163260678
2020-04-27,canopy_cover,0.224379493
2020-05-27,canopy_cover,0.556040626
2020-06-30,canopy_cover,0.491596663
2020-07-28,canopy_cover,0.305941265
2020-08-25,canopy_cover,0.419465091
2020-09-28,canopy_cover,0.52140513
2020-10-30,canopy_cover,0.253592865
