date_ll,QPA_leaflitter,QPB_leaflitter,date_co,QPA_canopy,QPB_canopy
2017-09-15,1.482740786,1.793614103,1/14/2017,2.035709058,1.872502142
2017-10-18,-0.068384059,0.714099845,3/15/2017,1.727578155,1.551896958
2017-10-30,-2.328879891,-0.881529659,5/17/2017,1.716528319,1.536349726
2017-11-14,-2.786026878,-0.946126372,7/8/2017,1.669203747,1.490548934
2017-11-30,-2.189110175,-1.731426637,9/4/2017,1.581599124,1.39148244
2017-12-13,-2.120480936,-1.023895647,9/10/2017,1.645628869,1.294424291
2017-12-29,-1.931042585,-1.155725351,10/4/2017,1.436226353,1.13646499
2018-01-23,-2.680962702,-1.592679052,11/8/2017,1.434460089,1.016906589
2018-01-31,-0.064081888,-0.788258216,12/11/2017,1.479398525,1.246987452
2018-02-16,-1.897907023,-1.643160676,1/25/2018,1.391721113,1.185334648
2018-02-28,-2.603476724,-1.073264013,2/15/2018,1.434460089,1.109390578
2018-03-14,-1.808288817,-1.256619939,3/13/2018,1.323650326,1.240990432
2018-03-28,-1.496896265,-0.840765857,4/13/2018,1.294256092,1.181352166
2018-04-13,-1.388419861,-0.502305706,5/9/2018,1.206443161,1.195615482
2018-04-26,-0.975554355,-0.598869913,6/13/2018,1.17562524,1.141460837
2018-05-16,-0.563222204,-0.70151056,7/12/2018,1.110170268,0.782647871
2018-05-30,-1.874568497,-1.162473227,8/18/2018,1.026044255,1.030918963
2018-06-15,-1.635387568,-0.817998155,9/25/2018,0.991775799,0.925352283
2018-06-29,-0.964295837,-0.947264438,10/24/2018,1.070264724,1.106814364
2018-07-16,-1.436566602,-0.909921175,11/28/2018,1.026930388,1.309983304
2018-07-30,-1.528617516,-1.015944272,12/31/2018,1.036626365,1.233443227
2018-08-14,-1.038668681,-1.49645676,1/29/2019,0.966693202,1.201890013
2018-08-28,-1.296084225,-0.894219391,2/25/2019,0.895547766,1.067352865
2018-09-17,-1.025272634,-0.936551829,3/27/2019,0.759415592,1.085962175
2018-09-28,-1.462258184,-0.977840436,4/25/2019,0.631161257,0.96675143
2018-10-12,-1.692719274,-1.102238876,6/19/2019,0.6258842,0.881087944
2018-10-30,-1.101880444,-1.236164349,7/31/2019,0.577094035,0.923288298
2018-11-15,-1.460865194,-1.30339163,8/27/2019,0.681203769,1.041071334
2018-11-30,-1.326049954,-1.110259713,9/30/2019,0.163260678,0.774289613
2018-12-13,-2.309204982,-1.592403782,10/29/2019,0.224379493,0.459874479
2018-12-31,-0.845875434,-0.818693844,11/26/2019,0.556040626,0.852670731
2019-01-18,-2.496946606,-1.517424033,12/27/2019,0.491596663,0.967740061
2019-01-31,-2.02905874,-0.461633536,1/31/2020,0.305941265,0.80962898
2019-02-15,-1.196873421,-0.887032296,2/28/2020,0.419465091,0.85930059
2019-02-25,-1.531451717,-0.899936415,3/24/2020,0.52140513,0.704782735
2019-03-14,-0.72934707,-1.181668619,,,
2019-03-29,-0.086426674,-0.760226407,,,
2019-04-15,-0.377801854,-0.510525117,,,
2019-04-29,-0.272057856,-0.276555603,,,
2019-05-17,-0.764427854,-0.270391739,,,
2019-05-29,-0.939679566,-0.763202415,,,
2019-06-18,-0.588483589,-0.514927158,,,
2019-06-30,-0.285349165,-0.207406064,,,
2019-07-19,-1.034183952,-0.514130386,,,
2019-07-31,-0.934797811,-0.787170279,,,
2019-08-15,-0.957551806,-0.998968675,,,
2019-08-27,-0.800872387,-0.728808123,,,
2019-09-16,-0.363194452,-0.590584485,,,
2019-09-27,-0.285302989,-1.133567269,,,
2019-10-15,-1.684889811,-1.020126191,,,
2019-10-29,-1.350165465,-1.035483352,,,
2019-11-14,-1.228767367,-1.252052964,,,
2019-11-27,-1.956237526,-1.701579112,,,
2019-12-13,-0.735067549,-1.237738968,,,
2019-12-27,-0.066328907,-0.133874299,,,
2020-01-16,-0.701353914,-0.235070008,,,
2020-01-31,-1.43403659,-1.495950815,,,
2020-02-13,-0.890120798,-0.966139987,,,
2020-02-28,-1.076811082,-1.988234189,,,
2020-03-12,-0.958611154,-1.168609357,,,
2020-03-31,-1.105808921,-0.495524754,,,
2020-04-16,-0.325907301,-0.401234574,,,
2020-04-30,-0.279973531,0.007524237,,,
2020-05-14,-0.09241053,0.332921197,,,
2020-05-29,-0.349744837,-0.007038695,,,
2020-06-15,-0.716892204,-0.198511569,,,
2020-06-29,-0.691155606,-0.576370464,,,
2020-07-15,0.759915893,-0.527011486,,,
2020-07-28,-0.629114223,-0.493142973,,,
2020-08-17,0.259832412,1.263124688,,,
2020-08-26,0.131635065,-0.167082689,,,
2020-09-14,-1.140969917,-1.013624257,,,
2020-09-30,-0.635608688,-0.867645692,,,
