TimeCHLA,QPAchla,QPAsdCHLA,QPBchla,QPBsdCHLA,events,QPACHLALog,QPBCHLALog
1/1/2017,654.5472517,274.5556536,781.6304023,367.4559182,1,-0.260047855,-0.710354607
2/1/2017,699.206744,355.0306425,737.6499676,236.515288,2,0.014525328,-0.601821833
3/1/2017,440.4347684,84.27711342,459.9962607,339.2208802,3,-0.357644283,-0.975818457
4/1/2017,291.3104578,157.3017508,498.3905585,325.8380076,4,-0.203379308,-0.557522394
5/1/2017,443.4719584,162.195471,457.8817308,380.5740009,5,-0.247534844,-0.674957386
6/1/2017,503.3978852,204.7587461,327.5024783,159.8450408,6,-0.705054496,-1.237622734
7/1/2017,312.151594,122.1728819,290.1834237,137.21262,7,-0.458602939,-0.48781776
8/1/2017,350.6043855,124.2542424,281.1959694,87.03264062,8,0.420359672,-0.469544596
9/1/2017,246.4762714,129.143405,324.0653575,122.7878526,9,0.07979631,-0.360529701
10/1/2017,438.4715559,141.806362,211.0905858,121.5680831,10,0.077653341,-0.350594956
11/1/2017,401.9465409,481.5107059,283.6498777,303.2480481,11,0.23928499,-0.16524694
12/1/2017,416.6272638,114.7968988,243.3050225,124.58654,12,-0.272410061,-0.789218623
1/1/2018,443.4719584,190.0301398,356.4577442,115.7953748,13,0.12396455,-0.213678983
2/1/2018,602.6309492,61.85302945,284.4687349,50.41755505,14,-0.24239925,-0.204993891
3/1/2018,553.3962158,257.8698485,160.7727327,259.3997488,15,0.29639498,-0.321955173
4/1/2018,370.5898558,160.7180703,273.1556963,160.4956265,16,0.344076914,-0.29237479
5/1/2018,1187.758066,99.08211645,360.5967635,64.58585165,17,0.309151178,-0.22731302
6/1/2018,383.8567061,121.057714,383.3362913,528.7269929,18,0.073330631,-0.805715496
7/1/2018,632.2876077,451.9867087,325.3622074,156.4251383,19,0.030049884,-0.488342793
8/1/2018,737.4981535,774.2601467,478.5620087,343.5684236,20,-0.030658231,-0.574678682
9/1/2018,501.6678996,211.018084,476.441128,874.8683108,21,0.017866011,-0.386099173
10/1/2018,529.4228218,143.2189267,669.6472281,118.4272437,22,-1.096206201,-0.741079731
11/1/2018,603.1443905,,499.6568013,,23,-0.705537054,-0.424852389
12/1/2018,756.1969844,,455.4158849,,24,-1.08995965,-0.664871323
1/1/2019,625.5200665,,505.6722747,,25,-0.03347797,-0.153006168
2/1/2019,659.6718085,,613.8623383,,26,-0.016249516,-0.3614643
3/1/2019,695.9245702,,476.7460255,,27,-0.280540096,-0.19219223
4/1/2019,569.266996,,591.6372829,,28,0.21815357,0.132886567
5/1/2019,632.6844527,,408.5775834,,29,0.373130303,0.229684196
6/1/2019,448.1644533,,312.0626091,,30,-0.501249429,-0.190408786
7/1/2019,303.1549033,,198.7795716,,31,-0.277327715,-0.19946063
8/1/2019,358.1736417,,281.3939847,,32,-1.37136645,-1.301946142
9/1/2019,365.6185364,,275.2933204,,33,-0.378241151,-0.116456985
10/1/2019,551.4903954,,517.1959919,,34,-0.015983219,0.042520912
11/1/2019,359.0514362,,421.2747262,,35,0.268819267,0.210554497
12/1/2019,406.6912357,,426.3294423,,,,
1/1/2020,638.9875652,,613.5065095,,,,
2/1/2020,692.9705498,,669.9165386,,,,
3/1/2020,524.4314773,,396.4338805,,,,
4/1/2020,423.8295667,,315.5392348,,,,
5/1/2020,165.0733517,,138.3778997,,,,
6/1/2020,423.6676439,,355.8904708,,,,
7/1/2020,538.5964648,,471.7275696,,,,
8/1/2020,648.0453639,,570.0991048,,,,
